ZIP,pop_density,urban
1588,1123.052,True
1590,283.6683,False
1602,4111.033,True
1603,4442.18,True
1604,5503.844,True
1605,5005.703,True
1606,3239.412,True
1607,2933.914,True
1608,7317.865,True
1609,5475.553,True
1610,11248.15,True
1611,740.2286,False
1612,319.613,False
1701,1883.916,True
1702,4766.96,True
1718,8856.155,True
1719,499.4268,False
1720,1138.119,True
1721,1391.697,True
1730,1010.866,True
1731,2630.796,True
1740,253.9604,False
1741,332.395,False
1742,791.5697,False
1745,934.7143,False
1746,761.4669,False
1747,1149.103,True
1748,606.4025,False
1749,1701.295,True
1752,1889.486,True
1754,2006.24,True
1756,334.0773,False
1757,1918.255,True
1760,2341.767,True
1770,268.3752,False
1772,700.362,False
1773,386.4489,False
1775,401.8436,False
1776,758.9907,False
1778,891.7604,False
1801,3130.564,True
1803,2177.472,True
1810,1122.125,True
1821,1907.727,True
1824,1446.379,True
1826,1485.159,True
1827,203.1492,False
1830,1920.536,True
1832,1971.654,True
1833,656.3761,False
1834,748.1072,False
1835,1687.343,True
1840,10366.63,True
1841,15617.84,True
1843,7537.879,True
1844,2187.765,True
1845,1112.691,True
1850,11771.28,True
1851,8993.85,True
1852,6828.302,True
1854,7514.067,True
1860,780.4019,False
1862,1188.722,True
1863,1965.802,True
1864,1171.692,True
1867,2501.281,True
1876,1441.082,True
1879,718.2254,False
1880,3737.991,True
1886,767.5659,False
1887,1363.028,True
1890,3661.399,True
1901,5536.82,True
1902,19580.06,True
1904,3875.842,True
1905,7210.904,True
1906,2557.272,True
1907,4682.198,True
1908,3302.345,True
1913,1378.695,True
1915,2694.582,True
1921,345.4705,False
1922,292.3555,False
1923,2065.2,True
1929,258.2329,False
1930,1122.269,True
1937,1834.23,True
1938,447.4311,False
1940,1227.096,True
1944,572.7645,False
1945,4621.17,True
1949,701.2786,False
1950,2128.148,True
1951,294.2878,False
1952,562.0706,False
1960,3233.633,True
1966,1017.17,True
1969,347.6445,False
1970,5220.367,True
1982,571.1881,False
1983,535.0121,False
1984,664.68,False
1985,329.1187,False
2019,909.1593,False
2021,1185.111,True
2025,845.9295,False
2026,2462.279,True
2030,384.5615,False
2032,1743.823,True
2035,868.751,False
2038,1229.281,True
2043,1026.464,True
2045,3913.779,True
2047,631.4535,False
2048,1168.675,True
2050,886.782,False
2052,858.7573,False
2053,1132.227,True
2054,669.7073,False
2056,768.5146,False
2061,512.899,False
2062,2796.0,True
2066,1056.514,True
2067,786.7333,False
2071,1893.161,True
2072,1746.741,True
2081,1075.178,True
2090,1385.503,True
2093,519.9893,False
2108,30532.19,True
2109,22734.55,True
2110,11055.94,True
2111,29136.87,True
2113,71703.31,True
2114,28658.28,True
2115,40293.34,True
2116,35587.51,True
2118,25008.62,True
2119,16442.97,True
2120,24969.87,True
2121,16072.13,True
2122,12243.13,True
2124,17726.22,True
2125,16588.46,True
2126,13368.98,True
2127,18069.05,True
2128,9276.365,True
2129,13392.78,True
2130,11774.02,True
2131,12300.9,True
2132,6249.743,True
2134,13750.35,True
2135,14681.11,True
2136,6765.542,True
2138,13593.43,True
2139,23401.57,True
2140,15935.52,True
2141,20401.36,True
2142,10614.26,True
2143,17085.41,True
2144,23042.58,True
2145,18119.1,True
2148,12039.18,True
2149,12760.42,True
2150,17013.74,True
2151,9055.084,True
2152,9107.001,True
2155,7218.217,True
2163,23818.93,True
2169,6209.263,True
2170,9534.716,True
2171,7174.164,True
2176,5916.364,True
2180,3613.784,True
2184,2684.26,True
2186,2098.524,True
2188,4009.246,True
2189,3964.116,True
2190,2371.311,True
2191,4126.313,True
2199,20396.34,True
2203,0.0,False
2210,2351.872,True
2215,32090.86,True
2301,4807.261,True
2302,3909.614,True
2322,1037.88,True
2324,997.3107,False
2330,309.1233,False
