zip,qualified,kw_total
15143,4683,65980.5
15144,1633,20665.5
15145,2158,23184.75
15146,9868,198880.75
15147,6168,73180.25
15148,784,11417.75
15201,4173,80470.75
15202,4627,44040.5
15203,3075,51274
15204,2418,25374.5
15205,6473,141937.25
15206,6767,89417.5
15207,3983,33911.25
15208,2766,31771.25
15209,4530,47844.5
15210,7989,54019.5
15211,3818,26439.5
15212,7956,84992.25
15213,2840,60389.25
15214,4518,39561
15215,3790,46333.75
15216,6825,60968
15217,6355,60175.25
15218,4033,36591.25
15219,2505,45453.75
15220,5530,77613.25
15221,8243,84467.25
15222,571,36709.75
15223,2507,33105.5
15224,2804,23640.5
15225,748,45259.75
15226,5189,41953.75
15227,9875,89019
15228,4308,42995.5
15229,4565,48012.75
15232,1635,20778.5
15233,1070,50874.5
15234,5204,53239
15235,12010,134732.5
15236,9633,126677.5
15237,10571,170155.5
15238,4087,119963.5
15239,8240,114787.75
15241,4160,64222.75
15243,4198,45876.25
15260,8,1817.5
15261,2,438.75
15275,61,8213
15276,3,152
15277,76,13551.5
15282,72,7196.75
15290,1,40.25
15317,97,1335.75
15321,236,2781
15361,19,86.5
15545,1,4.25
15613,2967,37147
15615,152,1602
15629,141,745.25
15632,186,4145.5
15636,288,3904.75
15641,261,4320.25
15642,9184,134219.25
15644,5,242.75
15647,41,365.5
15656,3905,60615.25
15665,467,4223.5
15668,4649,82805.5
15673,280,2525.75
15690,3505,38530.5
15692,458,4631.75
15801,3553,107393.25
15840,407,5932.25
15851,778,10893.5
15901,1211,27704.25
15902,3601,49675.5
15904,4756,140670.5
15905,4324,62381
15906,2565,24924.75
15909,1125,12368.5
15928,396,8353.75
15934,1,2.25
15935,70,823.5
15942,181,2109.75
15945,84,995
15946,7,57
15963,2482,33584.75
16001,10304,180482
16002,283,13054.75
16045,440,7462.5
16053,519,12147.75
16121,1864,23694.5
16143,1,3
16146,4683,74184.75
16148,2883,95632.5
16150,1585,20522.25
16159,462,16923.75
16161,276,8061.75
16229,23,442.25
16415,590,10628.5
16421,368,11443.5
16501,503,48065
16502,4209,73962.5
16503,4010,72590.5
16504,5494,61702.5
16505,6180,132453.75
16506,8087,182665.75
16507,2352,42378.75
